HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Anchorage, AK",1583 ,130 ,533 ,1058 ,55 ,93 ,551912 ,74327 ,110382 ,22385 ,4656 ,1492 ,3 ,141%,94%,746,140%,71%,47%,487,91%,46%,31%,310,564%,333%,238%,155,282%,167%,119%,101,184%,109%,78%
"Ann Arbor, MI",3014 ,406 ,876 ,1945 ,122 ,264 ,1115589 ,209105 ,223118 ,46365 ,9942 ,3091 ,4 ,159%,103%,"1,546",176%,79%,51%,"1,008",115%,52%,33%,663,543%,251%,163%,331,271%,125%,82%,216,177%,82%,53%
"Appleton, WI",448 ,72 ,222 ,335 ,37 ,54 ,254546 ,52373 ,50909 ,10668 ,2310 ,711 ,3 ,212%,159%,356,160%,106%,79%,232,105%,69%,52%,154,416%,285%,214%,77,208%,143%,107%,50,135%,93%,69%
"Arlington, VA",3116 ,450 ,995 ,2055 ,173 ,312 ,1909537 ,270129 ,381907 ,77695 ,16225 ,5180 ,5 ,252%,166%,"2,590",260%,126%,83%,"1,689",170%,82%,54%,"1,082",625%,347%,240%,541,313%,173%,120%,353,204%,113%,78%
"Asheville, NC",1541 ,232 ,556 ,1048 ,76 ,154 ,553131 ,146572 ,110626 ,23804 ,5316 ,1587 ,3 ,151%,103%,793,143%,76%,51%,517,93%,49%,34%,354,466%,230%,153%,177,233%,115%,76%,116,153%,75%,50%
"Atlanta, GA",12780 ,1621 ,3338 ,8059 ,436 ,1029 ,5027281 ,799338 ,1005456 ,206224 ,43511 ,13748 ,4 ,171%,108%,"6,874",206%,85%,54%,"4,483",134%,56%,35%,"2,901",665%,282%,179%,"1,450",333%,141%,89%,946,217%,92%,58%
"Augusta, GA",2194 ,349 ,831 ,1512 ,106 ,227 ,540242 ,105665 ,108048 ,22537 ,4854 ,1502 ,2 ,99%,68%,751,90%,50%,34%,490,59%,32%,22%,324,306%,143%,93%,162,153%,71%,46%,106,100%,47%,30%
"Aurora, IL",527 ,55 ,286 ,406 ,25 ,40 ,245644 ,34035 ,49129 ,9981 ,2081 ,665 ,2 ,164%,126%,333,116%,82%,63%,217,76%,53%,41%,139,556%,348%,253%,69,276%,173%,125%,45,180%,113%,82%
"Austin, TX",2775 ,393 ,1003 ,1889 ,161 ,277 ,1523446 ,208426 ,304689 ,61851 ,12880 ,4123 ,4 ,218%,149%,"2,062",206%,109%,74%,"1,345",134%,71%,48%,859,534%,310%,219%,429,266%,155%,109%,280,174%,101%,71%
"Bakersfield, CA",2429 ,191 ,692 ,1561 ,88 ,140 ,847115 ,123309 ,169423 ,34533 ,7229 ,2302 ,3 ,147%,95%,"1,151",166%,74%,47%,751,109%,48%,31%,482,548%,344%,252%,241,274%,172%,126%,157,178%,112%,82%
"Baltimore, MD",6931 ,844 ,1887 ,4409 ,303 ,574 ,2015003 ,379769 ,403001 ,83786 ,17976 ,5586 ,3 ,127%,81%,"2,793",148%,63%,40%,"1,821",97%,41%,26%,"1,198",395%,209%,142%,599,198%,104%,71%,391,129%,68%,46%
"Bangor, ME",1094 ,100 ,400 ,747 ,28 ,64 ,318554 ,77904 ,63711 ,13585 ,3003 ,906 ,2 ,121%,83%,453,113%,61%,41%,295,74%,39%,27%,200,714%,313%,200%,100,357%,156%,100%,65,232%,102%,65%
"Baton Rouge, LA",2898 ,249 ,1159 ,2028 ,119 ,184 ,746856 ,127072 ,149371 ,30795 ,6539 ,2053 ,2 ,101%,71%,"1,026",89%,51%,35%,669,58%,33%,23%,436,366%,237%,175%,218,183%,118%,88%,142,119%,77%,57%
"Beaumont, TX",908 ,114 ,421 ,665 ,43 ,79 ,356372 ,70621 ,71274 ,14884 ,3210 ,992 ,2 ,149%,109%,496,118%,75%,55%,324,77%,49%,36%,214,498%,271%,188%,107,249%,135%,94%,70,163%,89%,61%
"Bend, OR",415 ,38 ,182 ,298 ,17 ,27 ,189876 ,47299 ,37975 ,8114 ,1798 ,541 ,3 ,182%,130%,270,148%,91%,65%,176,97%,59%,42%,120,706%,444%,316%,60,353%,222%,158%,39,229%,144%,103%
"Billings, MT",2432 ,148 ,931 ,1681 ,65 ,106 ,476520 ,97688 ,95304 ,19964 ,4322 ,1331 ,1 ,79%,55%,665,71%,40%,27%,434,47%,26%,18%,288,443%,272%,195%,144,222%,136%,97%,94,145%,89%,64%
"Binghamton, NY",1005 ,54 ,365 ,685 ,17 ,35 ,286154 ,67043 ,57231 ,12148 ,2671 ,810 ,2 ,118%,81%,405,111%,59%,40%,264,72%,39%,26%,178,1047%,509%,330%,89,524%,254%,165%,58,341%,166%,107%
"Birmingham, AL",7297 ,991 ,2756 ,5027 ,342 ,666 ,1774690 ,364610 ,354938 ,74366 ,16104 ,4958 ,2 ,99%,68%,"2,479",90%,49%,34%,"1,617",59%,32%,22%,"1,074",314%,161%,108%,537,157%,81%,54%,350,102%,53%,35%
"Bismarck, ND",970 ,80 ,422 ,696 ,43 ,62 ,182581 ,38811 ,36516 ,7675 ,1668 ,512 ,1 ,74%,53%,256,61%,37%,26%,167,40%,24%,17%,111,258%,179%,139%,56,130%,90%,70%,36,84%,58%,45%
"Bloomington, IL",394 ,35 ,201 ,298 ,10 ,23 ,160796 ,25937 ,32159 ,6603 ,1395 ,440 ,2 ,148%,112%,220,109%,74%,56%,144,72%,48%,37%,93,930%,404%,266%,46,460%,200%,131%,30,300%,130%,86%
"Blue Island, IL",2053 ,308 ,583 ,1318 ,118 ,213 ,670968 ,134483 ,134194 ,28052 ,6058 ,1870 ,3 ,142%,91%,935,160%,71%,46%,610,105%,46%,30%,404,342%,190%,131%,202,171%,95%,66%,132,112%,62%,43%
"Boise, ID",1773 ,186 ,848 ,1310 ,95 ,141 ,701166 ,134953 ,140233 ,29208 ,6280 ,1947 ,2 ,149%,110%,974,115%,74%,55%,635,75%,48%,36%,419,441%,297%,225%,209,220%,148%,112%,137,144%,97%,74%
"Boston, MA",10239 ,1157 ,2548 ,6393 ,438 ,798 ,4022208 ,782014 ,804442 ,167702 ,36098 ,11180 ,4 ,175%,109%,"5,590",219%,87%,55%,"3,646",143%,57%,36%,"2,407",550%,302%,208%,"1,203",275%,151%,104%,785,179%,98%,68%
"Boulder, CO",640 ,90 ,297 ,468 ,43 ,67 ,267487 ,42093 ,53497 ,10964 ,2311 ,731 ,2 ,156%,114%,365,123%,78%,57%,238,80%,51%,37%,154,358%,230%,171%,77,179%,115%,86%,50,116%,75%,56%
"Bradenton, FL",822 ,104 ,342 ,582 ,49 ,76 ,266378 ,82842 ,53276 ,11696 ,2671 ,780 ,2 ,134%,95%,390,114%,67%,47%,254,74%,44%,31%,178,363%,234%,171%,89,182%,117%,86%,58,118%,76%,56%
"Bridgeport, CT",1354 ,132 ,370 ,862 ,65 ,99 ,539133 ,102171 ,107827 ,22428 ,4815 ,1495 ,4 ,173%,110%,748,202%,87%,55%,488,132%,57%,36%,321,494%,324%,243%,160,246%,162%,121%,105,162%,106%,80%
"Bronx, NY",4012 ,282 ,807 ,2410 ,115 ,199 ,1094741 ,170439 ,218948 ,44838 ,9442 ,2989 ,4 ,124%,75%,"1,495",185%,62%,37%,975,121%,40%,24%,629,547%,316%,223%,315,274%,158%,112%,205,178%,103%,73%
"Bryan, TX",579 ,64 ,317 ,448 ,34 ,49 ,230741 ,32271 ,46148 ,9381 ,1957 ,625 ,2 ,140%,108%,313,99%,70%,54%,204,64%,46%,35%,130,382%,265%,203%,65,191%,133%,102%,43,126%,88%,67%
"Buffalo, NY",4713 ,323 ,1228 ,2971 ,95 ,209 ,1090373 ,234541 ,218075 ,45891 ,9989 ,3059 ,2 ,103%,65%,"1,530",125%,51%,32%,998,81%,34%,21%,666,701%,319%,206%,333,351%,159%,103%,217,228%,104%,67%
"Burlington, VT",1743 ,117 ,587 ,1165 ,65 ,91 ,522720 ,104104 ,104544 ,21841 ,4714 ,1456 ,2 ,125%,84%,728,124%,62%,42%,475,81%,41%,27%,314,483%,345%,268%,157,242%,173%,134%,102,157%,112%,87%
"Camden, NJ",6527 ,701 ,2294 ,4410 ,293 ,497 ,2208721 ,489214 ,441744 ,93226 ,20362 ,6215 ,3 ,141%,95%,"3,108",135%,70%,48%,"2,027",88%,46%,31%,"1,357",463%,273%,194%,679,232%,137%,97%,443,151%,89%,63%
"Canton, OH",1441 ,209 ,706 ,1073 ,97 ,153 ,495349 ,113936 ,99070 ,20988 ,4605 ,1399 ,2 ,130%,97%,700,99%,65%,49%,456,65%,42%,32%,307,316%,201%,147%,154,159%,101%,74%,100,103%,65%,48%
"Cape Girardeau, MO",859 ,80 ,398 ,629 ,43 ,62 ,202898 ,45230 ,40580 ,8570 ,1873 ,571 ,1 ,91%,66%,286,72%,45%,33%,186,47%,30%,22%,125,291%,202%,156%,62,144%,100%,78%,41,95%,66%,51%
"Casper, WY",633 ,32 ,378 ,505 ,20 ,26 ,152884 ,31930 ,30577 ,6416 ,1392 ,428 ,1 ,85%,68%,214,57%,42%,34%,139,37%,28%,22%,93,465%,358%,291%,46,230%,177%,144%,30,150%,115%,94%
"Cedar Rapids, IA",799 ,44 ,364 ,581 ,22 ,33 ,234872 ,48228 ,46974 ,9841 ,2131 ,656 ,2 ,113%,82%,328,90%,56%,41%,214,59%,37%,27%,142,645%,430%,323%,71,323%,215%,161%,46,209%,139%,105%
"Charleston, SC",3013 ,329 ,975 ,1994 ,101 ,215 ,914407 ,196315 ,182881 ,38477 ,8374 ,2565 ,3 ,129%,85%,"1,283",132%,64%,43%,836,86%,42%,28%,558,552%,260%,170%,279,276%,130%,85%,182,180%,85%,55%
"Charleston, WV",2620 ,284 ,1167 ,1894 ,97 ,190 ,650209 ,155752 ,130042 ,27667 ,6100 ,1844 ,2 ,97%,70%,922,79%,49%,35%,601,51%,32%,23%,407,420%,214%,143%,203,209%,107%,71%,133,137%,70%,47%
"Charlotte, NC",4873 ,770 ,1465 ,3169 ,249 ,510 ,2024238 ,353589 ,404848 ,83639 ,17806 ,5576 ,4 ,176%,114%,"2,788",190%,88%,57%,"1,818",124%,57%,37%,"1,187",477%,233%,154%,594,239%,116%,77%,387,155%,76%,50%
"Charlottesville, VA",1326 ,155 ,433 ,879 ,35 ,95 ,477802 ,100652 ,95560 ,20069 ,4358 ,1338 ,3 ,152%,101%,669,155%,76%,50%,436,101%,50%,33%,291,831%,306%,188%,145,414%,153%,94%,95,271%,100%,61%
"Chattanooga, TN",1928 ,247 ,651 ,1290 ,59 ,153 ,567490 ,121347 ,113498 ,23870 ,5192 ,1591 ,2 ,123%,83%,796,122%,62%,41%,519,80%,40%,27%,346,586%,226%,140%,173,293%,113%,70%,113,192%,74%,46%
"Chicago, IL",7764 ,912 ,3161 ,5462 ,312 ,612 ,2045072 ,306266 ,409014 ,83532 ,17529 ,5569 ,2 ,102%,72%,"2,784",88%,51%,36%,"1,816",57%,33%,23%,"1,169",375%,191%,128%,584,187%,95%,64%,381,122%,62%,42%
"Chico, CA",537 ,51 ,153 ,345 ,23 ,37 ,239882 ,53947 ,47976 ,10140 ,2219 ,676 ,4 ,196%,126%,338,221%,98%,63%,220,144%,64%,41%,148,643%,400%,290%,74,322%,200%,145%,48,209%,130%,94%
"Cincinnati, OH",3808 ,567 ,1537 ,2673 ,185 ,376 ,1293436 ,245509 ,258687 ,53815 ,11554 ,3588 ,2 ,134%,94%,"1,794",117%,67%,47%,"1,170",76%,44%,31%,770,416%,205%,136%,385,208%,102%,68%,251,136%,67%,44%
"Clearwater, FL",1571 ,160 ,719 ,1145 ,44 ,102 ,434821 ,131578 ,86964 ,19023 ,4327 ,1268 ,2 ,111%,81%,634,88%,55%,40%,414,58%,36%,26%,288,655%,282%,180%,144,327%,141%,90%,94,214%,92%,59%
"Cleveland, OH",7233 ,885 ,2631 ,4932 ,306 ,595 ,1602896 ,353619 ,320579 ,67629 ,14764 ,4509 ,2 ,91%,62%,"2,254",86%,46%,31%,"1,470",56%,30%,20%,984,322%,165%,111%,492,161%,83%,56%,321,105%,54%,36%
"Colorado Springs, CO",1295 ,149 ,555 ,925 ,62 ,106 ,673350 ,119939 ,134670 ,27866 ,5944 ,1858 ,3 ,201%,143%,929,167%,100%,72%,606,109%,66%,47%,396,639%,374%,266%,198,319%,187%,133%,129,208%,122%,87%
"Columbia, MO",1883 ,199 ,901 ,1392 ,77 ,138 ,557924 ,115795 ,111585 ,23401 ,5073 ,1560 ,2 ,112%,83%,780,87%,56%,41%,509,56%,37%,27%,338,439%,245%,170%,169,219%,122%,85%,110,143%,80%,55%
"Columbia, SC",3026 ,398 ,1053 ,2040 ,151 ,275 ,975665 ,189632 ,195133 ,40678 ,8756 ,2712 ,3 ,133%,90%,"1,356",129%,66%,45%,884,84%,43%,29%,584,387%,212%,147%,292,193%,106%,73%,190,126%,69%,48%
"Columbus, GA",1105 ,75 ,547 ,826 ,33 ,54 ,280815 ,48222 ,56163 ,11587 ,2463 ,772 ,1 ,93%,70%,386,71%,47%,35%,252,46%,31%,23%,164,497%,304%,219%,82,248%,152%,109%,54,164%,100%,72%
"Columbus, OH",6449 ,679 ,2792 ,4620 ,235 ,457 ,2405737 ,441233 ,481147 ,99801 ,21352 ,6653 ,2 ,144%,103%,"3,327",119%,72%,52%,"2,170",78%,47%,34%,"1,423",606%,311%,210%,712,303%,156%,105%,464,197%,102%,68%
"Contra Costa County, CA",1727 ,203 ,675 ,1201 ,81 ,142 ,844608 ,159096 ,168922 ,35118 ,7534 ,2341 ,3 ,195%,136%,"1,171",173%,98%,68%,763,113%,64%,44%,502,620%,354%,247%,251,310%,177%,124%,164,202%,115%,81%
"Corpus Christi, TX",1135 ,167 ,357 ,746 ,38 ,102 ,439951 ,83055 ,87990 ,18296 ,3926 ,1220 ,3 ,164%,107%,610,171%,82%,54%,398,111%,53%,35%,262,689%,257%,157%,131,345%,128%,78%,85,224%,83%,51%
"Covington, KY",828 ,93 ,280 ,554 ,39 ,66 ,327040 ,57022 ,65408 ,13511 ,2876 ,901 ,3 ,163%,109%,450,161%,81%,54%,294,105%,53%,36%,192,492%,291%,206%,96,246%,145%,103%,63,162%,95%,68%
"Dallas, TX",10585 ,1292 ,3679 ,7132 ,450 ,871 ,3918830 ,583050 ,783766 ,159993 ,33556 ,10666 ,3 ,150%,101%,"5,333",145%,75%,50%,"3,478",95%,49%,33%,"2,237",497%,257%,173%,"1,119",249%,128%,87%,729,162%,84%,56%
"Danville, PA",1664 ,171 ,510 ,1087 ,33 ,102 ,481423 ,99782 ,96285 ,20190 ,4376 ,1346 ,3 ,124%,81%,673,132%,62%,40%,439,86%,40%,26%,292,885%,286%,171%,146,442%,143%,85%,95,288%,93%,56%
"Davenport, IA",1614 ,139 ,699 ,1157 ,66 ,102 ,379562 ,86153 ,75912 ,16060 ,3518 ,1071 ,2 ,93%,66%,535,77%,46%,33%,349,50%,30%,22%,235,356%,230%,169%,117,177%,115%,84%,76,115%,75%,55%
"Dayton, OH",2070 ,294 ,749 ,1410 ,89 ,192 ,825712 ,177147 ,165142 ,34743 ,7560 ,2316 ,3 ,164%,112%,"1,158",155%,82%,56%,755,101%,54%,36%,504,566%,263%,171%,252,283%,131%,86%,164,184%,85%,56%
"Dearborn, MI",1439 ,188 ,462 ,951 ,95 ,142 ,382586 ,75636 ,76517 ,15975 ,3445 ,1065 ,2 ,112%,74%,532,115%,56%,37%,347,75%,36%,24%,230,242%,162%,122%,115,121%,81%,61%,75,79%,53%,40%
"Denver, CO",5593 ,843 ,2269 ,3931 ,325 ,584 ,2380353 ,379848 ,476071 ,97671 ,20614 ,6511 ,3 ,166%,116%,"3,256",143%,83%,58%,"2,123",94%,54%,38%,"1,374",423%,235%,163%,687,211%,118%,81%,448,138%,77%,53%
"Des Moines, IA",2760 ,173 ,1193 ,1977 ,76 ,125 ,869785 ,168710 ,173957 ,36257 ,7802 ,2417 ,2 ,122%,88%,"1,209",101%,61%,44%,788,66%,40%,29%,520,684%,416%,301%,260,342%,208%,150%,170,224%,136%,98%
"Detroit, MI",4123 ,509 ,1333 ,2728 ,163 ,336 ,1315527 ,254755 ,263105 ,54830 ,11797 ,3655 ,3 ,134%,89%,"1,828",137%,67%,44%,"1,192",89%,44%,29%,786,482%,234%,154%,393,241%,117%,77%,256,157%,76%,50%
"Dothan, AL",1335 ,108 ,504 ,919 ,33 ,71 ,290096 ,65608 ,58019 ,12270 ,2687 ,818 ,2 ,89%,61%,409,81%,45%,31%,267,53%,29%,20%,179,542%,252%,166%,90,273%,127%,83%,58,176%,82%,54%
"Dubuque, IA",518 ,18 ,228 ,373 ,8 ,13 ,125779 ,28314 ,25156 ,5318 ,1164 ,355 ,2 ,95%,69%,177,78%,47%,34%,116,51%,31%,22%,78,975%,600%,433%,39,488%,300%,217%,25,313%,192%,139%
"Duluth, MN",1319 ,217 ,508 ,914 ,73 ,145 ,274471 ,63578 ,54894 ,11638 ,2555 ,776 ,2 ,85%,59%,388,76%,42%,29%,253,50%,28%,19%,170,233%,117%,78%,85,116%,59%,39%,56,77%,39%,26%
"Durham, NC",4505 ,790 ,1125 ,2815 ,241 ,516 ,1097252 ,224839 ,219450 ,45967 ,9951 ,3064 ,3 ,109%,68%,"1,532",136%,54%,34%,999,89%,35%,22%,663,275%,128%,84%,332,138%,64%,42%,216,90%,42%,27%
"East Long Island, NY",9897 ,928 ,1230 ,5564 ,235 ,582 ,3811249 ,751403 ,762250 ,159104 ,34299 ,10607 ,9 ,191%,107%,"5,303",431%,95%,54%,"3,459",281%,62%,35%,"2,287",973%,393%,246%,"1,143",486%,196%,123%,746,317%,128%,80%
"El Paso, TX",2086 ,274 ,753 ,1420 ,51 ,162 ,839182 ,146112 ,167836 ,34665 ,7378 ,2311 ,3 ,163%,111%,"1,156",154%,81%,55%,754,100%,53%,36%,492,965%,304%,180%,246,482%,152%,90%,160,314%,99%,58%
"Elgin, IL",1239 ,142 ,475 ,857 ,67 ,104 ,610597 ,100811 ,122119 ,25118 ,5318 ,1675 ,4 ,195%,135%,837,176%,98%,68%,546,115%,64%,44%,355,530%,341%,250%,177,264%,170%,125%,116,173%,112%,82%
"Elmira, NY",1036 ,94 ,361 ,699 ,14 ,54 ,255069 ,58415 ,51014 ,10803 ,2369 ,720 ,2 ,103%,69%,360,100%,52%,35%,235,65%,34%,23%,158,1129%,293%,168%,79,564%,146%,84%,52,371%,96%,55%
"Elyria, OH",453 ,63 ,214 ,333 ,21 ,42 ,200261 ,44042 ,40052 ,8447 ,1843 ,563 ,3 ,169%,124%,282,132%,85%,62%,184,86%,55%,41%,123,586%,293%,195%,61,290%,145%,97%,40,190%,95%,63%
"Erie, PA",1904 ,184 ,706 ,1305 ,88 ,136 ,561138 ,130069 ,112228 ,23795 ,5225 ,1586 ,2 ,122%,83%,793,112%,61%,42%,517,73%,40%,27%,348,395%,256%,189%,174,198%,128%,95%,114,130%,84%,62%
"Eugene, OR",1208 ,138 ,416 ,812 ,64 ,101 ,603572 ,141016 ,120714 ,25615 ,5630 ,1708 ,4 ,210%,141%,854,205%,105%,71%,557,134%,69%,46%,375,586%,371%,272%,188,294%,186%,136%,122,191%,121%,88%
"Evanston, IL",2032 ,332 ,666 ,1349 ,137 ,234 ,711961 ,162705 ,142392 ,30146 ,6609 ,2010 ,3 ,149%,99%,"1,005",151%,74%,49%,655,98%,49%,32%,441,322%,188%,133%,220,161%,94%,66%,144,105%,62%,43%
"Evansville, IN",2154 ,328 ,1050 ,1602 ,157 ,243 ,528945 ,115347 ,105789 ,22292 ,4860 ,1486 ,1 ,93%,69%,743,71%,46%,34%,485,46%,30%,23%,324,206%,133%,99%,162,103%,67%,49%,106,68%,44%,32%
"Everett, WA",951 ,83 ,319 ,635 ,26 ,55 ,542404 ,104811 ,108481 ,22603 ,4862 ,1507 ,5 ,237%,158%,753,236%,119%,79%,491,154%,77%,52%,324,1246%,589%,390%,162,623%,295%,195%,106,408%,193%,128%
"Fargo/Moorhead MN, ND",1872 ,180 ,734 ,1303 ,48 ,114 ,432080 ,90275 ,86416 ,18134 ,3934 ,1209 ,2 ,93%,65%,604,82%,46%,32%,394,54%,30%,21%,262,546%,230%,146%,131,273%,115%,73%,86,179%,75%,48%
"Flint, MI",1375 ,161 ,458 ,916 ,58 ,109 ,426480 ,89340 ,85296 ,17904 ,3885 ,1194 ,3 ,130%,87%,597,130%,65%,43%,389,85%,42%,28%,259,447%,238%,161%,130,224%,119%,81%,84,145%,77%,52%
"Florence, SC",1248 ,224 ,481 ,865 ,79 ,151 ,287862 ,62812 ,57572 ,12132 ,2645 ,809 ,2 ,94%,65%,404,84%,47%,32%,264,55%,31%,21%,176,223%,117%,79%,88,111%,58%,39%,58,73%,38%,26%
"Fort Collins, CO",704 ,31 ,341 ,523 ,14 ,22 ,287995 ,47223 ,57599 ,11841 ,2506 ,789 ,2 ,151%,112%,395,116%,76%,56%,257,75%,49%,37%,167,1193%,759%,539%,84,600%,382%,271%,54,386%,245%,174%
"Fort Lauderdale, FL",7323 ,908 ,2753 ,5038 ,292 ,600 ,2396614 ,619365 ,479323 ,102839 ,22893 ,6856 ,2 ,136%,94%,"3,428",125%,68%,47%,"2,236",81%,44%,31%,"1,526",523%,254%,168%,763,261%,127%,84%,498,171%,83%,55%
"Fort Myers, FL",3115 ,268 ,1089 ,2102 ,97 ,182 ,1079022 ,373713 ,215804 ,48103 ,11163 ,3207 ,3 ,153%,103%,"1,603",147%,76%,51%,"1,046",96%,50%,34%,744,767%,409%,278%,372,384%,204%,139%,243,251%,134%,91%
"Fort Smith, AR",931 ,87 ,487 ,709 ,55 ,71 ,281971 ,62427 ,56394 ,11901 ,2599 ,793 ,2 ,112%,85%,397,82%,56%,43%,259,53%,37%,28%,173,315%,244%,199%,87,158%,123%,100%,56,102%,79%,64%
"Fort Wayne, IN",2442 ,376 ,1038 ,1740 ,143 ,259 ,651379 ,132442 ,130276 ,27269 ,5898 ,1818 ,2 ,104%,74%,909,88%,52%,37%,593,57%,34%,24%,393,275%,152%,105%,197,138%,76%,52%,128,90%,49%,34%
"Fort Worth, TX",4200 ,501 ,1400 ,2800 ,187 ,344 ,1764292 ,277941 ,352858 ,72324 ,15247 ,4822 ,3 ,172%,115%,"2,411",172%,86%,57%,"1,572",112%,56%,37%,"1,016",543%,295%,203%,508,272%,148%,101%,331,177%,96%,66%
"Fresno, CA",1935 ,205 ,547 ,1241 ,77 ,141 ,918145 ,146620 ,183629 ,37675 ,7952 ,2512 ,5 ,202%,130%,"1,256",230%,101%,65%,819,150%,66%,42%,530,688%,376%,259%,265,344%,188%,129%,173,225%,123%,84%
